Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR2641635_bin.1	84.74	4.25	Neural Network (Specific Model)	11	0.881	45678	319.68204121687927	2216336	0.6	2038	69	149823	None
ERR2641635_bin.10	82.45	2.14	Neural Network (Specific Model)	11	0.889	21773	313.9598781107161	2083044	0.43	1969	145	105975	None
ERR2641635_bin.11	89.59	2.36	Gradient Boost (General Model)	11	0.89	8532	304.20788824979456	2491542	0.49	2434	368	38599	None
ERR2641635_bin.12	88.29	8.26	Neural Network (Specific Model)	11	0.867	25179	318.18063145112325	3621095	0.42	3294	275	123302	None
ERR2641635_bin.13	21.63	2.69	Neural Network (Specific Model)	11	0.899	2298	231.55874673629242	884710	0.34	1149	366	8921	None
ERR2641635_bin.14	7.24	0.25	Neural Network (Specific Model)	11	0.843	7740	240.16707616707617	346436	0.34	407	63	34848	None
ERR2641635_bin.15	90.95	0.57	Gradient Boost (General Model)	11	0.886	7805	325.32487562189056	2211486	0.34	2010	392	34655	None
ERR2641635_bin.16	73.93	3.9	Gradient Boost (General Model)	11	0.887	5755	300.42762847713345	2150467	0.44	2121	461	32044	None
ERR2641635_bin.17	84.46	1.99	Neural Network (Specific Model)	11	0.889	19264	322.3178233438486	2754742	0.49	2536	223	102519	None
ERR2641635_bin.18	67.62	1.38	Neural Network (Specific Model)	11	0.919	9186	353.4885939444214	2779210	0.48	2411	381	38238	None
ERR2641635_bin.19	89.46	0.1	Gradient Boost (General Model)	11	0.925	6392	321.1303656597774	1961914	0.39	1887	386	35438	None
ERR2641635_bin.2	100.0	21.28	Neural Network (Specific Model)	11	0.881	28450	287.6418287937743	5023462	0.41	5140	360	126014	None
ERR2641635_bin.20	28.31	0.13	Neural Network (Specific Model)	11	0.939	2565	281.23880597014926	661122	0.37	737	265	7062	None
ERR2641635_bin.21	43.08	1.43	Neural Network (Specific Model)	11	0.926	3367	277.63702239789194	1362577	0.38	1518	442	13521	None
ERR2641635_bin.22	87.89	85.13	Neural Network (Specific Model)	11	0.877	9465	295.3261052631579	4791624	0.59	4750	664	62436	None
ERR2641635_bin.23	72.34	1.14	Neural Network (Specific Model)	11	0.854	4404	287.33190578158457	1882820	0.57	1868	493	22526	None
ERR2641635_bin.24	96.71	1.66	Gradient Boost (General Model)	11	0.901	6138	263.7253902516725	2748405	0.3	3139	577	28253	None
ERR2641635_bin.25	51.63	2.59	Neural Network (Specific Model)	11	0.88	19718	315.6732026143791	1315423	0.61	1224	91	54079	None
ERR2641635_bin.26	96.48	0.22	Neural Network (Specific Model)	11	0.856	25379	330.8255144032922	2815484	0.37	2430	184	110844	None
ERR2641635_bin.27	83.62	6.95	Neural Network (Specific Model)	11	0.92	5609	296.89822635135135	2289818	0.38	2368	517	27542	None
ERR2641635_bin.28	96.92	1.72	Gradient Boost (General Model)	11	0.898	12490	298.667817679558	1442771	0.28	1448	174	49971	None
ERR2641635_bin.29	97.7	0.27	Gradient Boost (General Model)	11	0.899	61032	353.73574211831385	3326536	0.41	2823	99	170322	None
ERR2641635_bin.3	89.21	45.82	Neural Network (Specific Model)	11	0.891	9858	311.3079254079254	4487429	0.45	4290	665	48556	None
ERR2641635_bin.30	89.05	2.61	Neural Network (Specific Model)	11	0.891	75831	332.35845143449706	3231392	0.43	2893	71	230670	None
ERR2641635_bin.31	5.59	0.32	Neural Network (Specific Model)	11	0.865	9212	251.73702422145328	251645	0.45	289	36	30230	None
ERR2641635_bin.32	94.93	7.08	Neural Network (Specific Model)	11	0.866	8656	289.7817792068596	4673906	0.36	4665	732	52261	None
ERR2641635_bin.33	60.95	0.4	Neural Network (Specific Model)	11	0.898	121938	349.16165890816757	2752819	0.41	2363	49	269078	None
ERR2641635_bin.34	99.22	0.53	Neural Network (Specific Model)	11	0.913	54082	365.73384813384814	4662458	0.45	3885	124	193770	None
ERR2641635_bin.35	91.67	4.63	Neural Network (Specific Model)	11	0.897	24844	308.2571756601607	2688656	0.37	2613	181	68877	None
ERR2641635_bin.36	87.61	6.06	Neural Network (Specific Model)	11	0.893	25883	331.12773722627736	3041512	0.48	2740	178	75456	None
ERR2641635_bin.37	97.4	112.82	Neural Network (Specific Model)	11	0.894	6476	287.2079347497734	9546855	0.42	9931	1960	39506	None
ERR2641635_bin.38	92.94	16.98	Gradient Boost (General Model)	11	0.876	16251	292.063662670525	4829751	0.41	4838	483	82556	None
ERR2641635_bin.39	4.53	0.02	Neural Network (Specific Model)	11	0.867	16162	292.1835748792271	208757	0.48	207	22	43617	None
ERR2641635_bin.4	79.97	15.89	Neural Network (Specific Model)	11	0.914	5528	339.11482254697285	5854746	0.42	5269	1234	52878	None
ERR2641635_bin.40	64.92	0.04	Neural Network (Specific Model)	11	0.876	708670	380.36611489776044	1337142	0.6	1027	9	708670	None
ERR2641635_bin.41	97.1	0.06	Neural Network (Specific Model)	11	0.879	54428	349.0974099099099	2113641	0.6	1776	60	209625	None
ERR2641635_bin.42	41.58	0.1	Neural Network (Specific Model)	11	0.899	213323	326.77236842105265	827204	0.59	760	5	274110	None
ERR2641635_bin.43	9.24	0.0	Neural Network (Specific Model)	11	0.877	32110	287.7846715328467	268987	0.46	274	12	42730	None
ERR2641635_bin.44	100.0	0.26	Gradient Boost (General Model)	11	0.898	27868	298.2423719055843	1727003	0.46	1737	95	79700	None
ERR2641635_bin.5	99.96	10.4	Neural Network (Specific Model)	11	0.901	67753	374.2734259532959	4212701	0.41	3383	114	483410	None
ERR2641635_bin.6	81.59	1.95	Neural Network (Specific Model)	11	0.881	10409	295.85890949971895	1791066	0.6	1779	233	57498	None
ERR2641635_bin.7	83.81	0.11	Neural Network (Specific Model)	11	0.909	59955	321.1637564889099	2242740	0.44	2119	64	148015	None
ERR2641635_bin.8	8.72	0.05	Neural Network (Specific Model)	11	0.866	13928	279.0019723865878	488617	0.35	507	59	72107	None
ERR2641635_bin.9	32.45	0.12	Neural Network (Specific Model)	11	0.902	143168	394.9207266721718	1589698	0.41	1211	26	261016	None
ERR2641677_bin.1	55.59	1.56	Neural Network (Specific Model)	11	0.912	3565	292.8374689826303	1550986	0.45	1612	459	12081	None
ERR2641677_bin.10	88.23	0.87	Neural Network (Specific Model)	11	0.896	35819	334.60286677908937	2651866	0.47	2372	108	99967	None
ERR2641677_bin.11	80.02	1.15	Neural Network (Specific Model)	11	0.911	10034	344.72903225806454	3163334	0.47	2790	433	41531	None
ERR2641677_bin.12	98.49	23.42	Neural Network (Specific Model)	11	0.906	9618	343.8646907216495	7939015	0.42	6984	1203	75293	None
ERR2641677_bin.13	36.34	5.33	Neural Network (Specific Model)	11	0.88	2802	233.11645838872641	2979542	0.35	3761	1083	13538	None
ERR2641677_bin.14	11.79	0.61	Neural Network (Specific Model)	11	0.824	21658	286.11417322834643	528038	0.39	508	31	58832	None
ERR2641677_bin.15	15.06	0.03	Neural Network (Specific Model)	11	0.903	85450	313.57654723127035	319270	0.39	307	4	157570	None
